lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;maken;bk:2cf1000a-5a2b-4e13-9df1-e9d62bb168c6;Maken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontsluiten;bk:f146e273-863c-4c2d-bc92-9db13bfb4157;Delen;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;gebruiken;bk:b249eae5-436e-46c6-9ddc-4a83c38bac8f;Gebruiken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontwerpen;bk:2cf1000a-5a2b-4e13-9df1-e9d62bb168c6;Maken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;gebruiken_lesplan;bk:b249eae5-436e-46c6-9ddc-4a83c38bac8f;Gebruiken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;gebruiken_leerplan;bk:b249eae5-436e-46c6-9ddc-4a83c38bac8f;Gebruiken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;gebruiken_toetsplan;bk:b249eae5-436e-46c6-9ddc-4a83c38bac8f;Gebruiken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;gebruiken_les;bk:b249eae5-436e-46c6-9ddc-4a83c38bac8f;Gebruiken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;maken_leerlijn;bk:2cf1000a-5a2b-4e13-9df1-e9d62bb168c6;Maken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;maken_les;bk:2cf1000a-5a2b-4e13-9df1-e9d62bb168c6;Maken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;maken_toets;bk:2cf1000a-5a2b-4e13-9df1-e9d62bb168c6;Maken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontwerpen_toetsplan;bk:2cf1000a-5a2b-4e13-9df1-e9d62bb168c6;Maken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontsluiten_leerplan;bk:f146e273-863c-4c2d-bc92-9db13bfb4157;Delen;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontsluiten_lesplan;bk:f146e273-863c-4c2d-bc92-9db13bfb4157;Delen;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontsluiten_toetsplan;bk:f146e273-863c-4c2d-bc92-9db13bfb4157;Delen;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontsluiten_leerlijn;bk:f146e273-863c-4c2d-bc92-9db13bfb4157;Delen;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontsluiten_les;bk:f146e273-863c-4c2d-bc92-9db13bfb4157;Delen;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontsluiten_toets;bk:f146e273-863c-4c2d-bc92-9db13bfb4157;Delen;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;gebruiken_leerlijn;bk:b249eae5-436e-46c6-9ddc-4a83c38bac8f;Gebruiken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;gebruiken_toets;bk:b249eae5-436e-46c6-9ddc-4a83c38bac8f;Gebruiken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontwerpen_leerplan;bk:2cf1000a-5a2b-4e13-9df1-e9d62bb168c6;Maken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontwerpen_lesplan;bk:2cf1000a-5a2b-4e13-9df1-e9d62bb168c6;Maken;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;gebruiken_lesplan;bk:55f78f89-7052-4239-836f-f54014974e98;Lesplan;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;gebruiken_leerplan;bk:15e4b1d3-0414-4124-94df-f05cc18bb69e;Leerplan;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;gebruiken_toetsplan;bk:648c7522-1014-4779-8625-2e88763b5229;Toetsplan;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;gebruiken_les;bk:67ed2f93-9fe2-4b16-b34d-d075aeef4c59;Les;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;maken_leerlijn;bk:e7e08b6c-961f-47bd-9d18-99007e5f68e0;Leerlijn;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;maken_les;bk:67ed2f93-9fe2-4b16-b34d-d075aeef4c59;Les;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;maken_toets;bk:b9af5737-ebcd-4257-b388-16f5a673ab62;Toets;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontwerpen_toetsplan;bk:648c7522-1014-4779-8625-2e88763b5229;Toetsplan;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontsluiten_leerplan;bk:15e4b1d3-0414-4124-94df-f05cc18bb69e;Leerplan;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontsluiten_lesplan;bk:55f78f89-7052-4239-836f-f54014974e98;Lesplan;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontsluiten_toetsplan;bk:648c7522-1014-4779-8625-2e88763b5229;Toetsplan;idea
idea;classification_idea_design_development_dispersion_use_digital_learning_materials_20100720;ontsluiten_leerlijn;bk:e7e08b6c-961f-47bd-9d18-99007e5f68e0;Leerlijn;idea
