lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
accessibility restrictions;classification_so_learner_properties_20100304;visuele%20beperkingen;443a8d94-6845-465f-ac92-7697ee42a304;Visuele beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;blind_regulier;443a8d94-6845-465f-ac92-7697ee42a304;Visuele beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;blind_ass;443a8d94-6845-465f-ac92-7697ee42a304;Visuele beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;blind_mg;443a8d94-6845-465f-ac92-7697ee42a304;Visuele beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;blind_emg;443a8d94-6845-465f-ac92-7697ee42a304;Visuele beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;slechtziend_regulier;443a8d94-6845-465f-ac92-7697ee42a304;Visuele beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;slechtziend_ass;443a8d94-6845-465f-ac92-7697ee42a304;Visuele beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;slechtziend_mg;443a8d94-6845-465f-ac92-7697ee42a304;Visuele beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;slechtziend_emg;443a8d94-6845-465f-ac92-7697ee42a304;Visuele beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;auditieve%20beperkingen;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;doof_regulier;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;doof_ass;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;doof_mg;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;doof_emg;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;slechthorend_regulier;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;slechthorend_ass;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;slechthorend_mg;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;slechthorend_emg;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;esm_regulier;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;esm_ass;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;esm_mg;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;esm_emg;42937580-e88f-4784-9020-c60e5090e7ad;Auditieve beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;motorische_verstandelijke%20beperkingen;6f847b13-4720-4640-85f0-670eb1b55bd8;Motorische/verstandelijke beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;regulier;6f847b13-4720-4640-85f0-670eb1b55bd8;Motorische/verstandelijke beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;ass;6f847b13-4720-4640-85f0-670eb1b55bd8;Motorische/verstandelijke beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;mg;6f847b13-4720-4640-85f0-670eb1b55bd8;Motorische/verstandelijke beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;emg;6f847b13-4720-4640-85f0-670eb1b55bd8;Motorische/verstandelijke beperkingen;accessibility restrictions
accessibility restrictions;classification_so_learner_properties_20100304;gedragsstoornis;3eac1ee7-e31c-4f54-ba0a-5da17e1e3ad0;Ontwikkelingsachterstand;accessibility restrictions
