lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
discipline;vdex_classification_discipline_czp_20060628.xml;taal;3401cf6e-82e4-404c-b216-b980ff407159;Nederlandse taal;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;Nederlands;3401cf6e-82e4-404c-b216-b980ff407159;Nederlandse taal;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;Engels;18f53978-1118-4051-a778-b8d7f60ca982;Engels;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;Frans;9f4710e3-f173-404e-b12e-577657a5da04;Frans;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;Duits;81a1f605-db58-448d-a1dc-da682316c505;Duits;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;Spaans;952bf604-cc38-44e3-889a-a9e74a18da8e;Spaans;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;Turks;96ff821f-148d-46fd-bc0e-ddb5e8f7d7c9;Turks;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;Arabisch;455d527a-bfd0-4460-919e-12e0478a54cf;Arabisch;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;Russisch;116fbfd6-77d8-4676-8634-8cfd686942c9;Russisch;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;Italiaans;aedcfc1c-a676-4f40-8587-4a5f43a354b5;Italiaans;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;Fries;93a7126d-7307-4b6a-b55a-f4f78e92f680;Fries;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;Latijn;1cb06441-fc86-49fa-9347-a5869acb3778;Latijn;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;Grieks;c92a4d95-f2bb-4eb0-8861-0691365f15b1;Grieks;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;wereldorientatie;8b194f4d-d757-440d-b8a2-e7427849a6db;Wereldoriëntatie;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;aardrijkskunde;c001f86a-4f8f-4420-bd78-381c615ecedc;Aardrijkskunde;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;geschiedenis;ef3a0b2e-0843-4e0a-b45b-788be6e1ec8d;Geschiedenis;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;natuurwetenschappen;f97e788f-5aa6-4ab4-9448-9e27b79daa9e;Natuur;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;natuurwetenschappen;3b49e7f7-00cc-47ad-8403-32adb3ec31ee;Algemene natuurwetenschappen;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;biologie;2b363227-8633-4652-ad57-c61f1efc02c8;Biologie;discipline
discipline;vdex_classification_discipline_czp_20060628.xml;natuurkunde;e98be5ad-4bd2-4768-a9eb-7e24026e360c;Natuurkunde;discipline
