lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
discipline;vdex_classification_discipline_domains_lb_20110301.xml;economische_dimensie;30d045c8-e34d-4da3-a412-2fb7f391b409;Economisch burgerschap;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;politiek-juridische_dimensie;dc503302-39cc-42e7-9639-4d2268c90ddb;Politiek-juridisch burgerschap;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;sociaal-maatschappeljke_dimensie;7fdc100e-6f72-47f4-88f4-c470f8c83858;Sociaal-maatschappelijk burgerschap;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;dimensie_vitaal_burgerschap;121f6889-f69e-4db4-82ee-e9e18a590b9a;Vitaal burgerschap;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;capaciteiten_en_motieven_reflectie;c668c811-c035-475f-ba7a-cc01d95b734a;Capaciteiten- en motievenreflectie;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;loopbaansturing;b9de8965-bfcc-4a00-be07-b4ef2deffe53;Loopbaansturing;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;netwerken;d470fe4a-85da-4138-8c15-44b4fa7c8417;Netwerken;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;werkexploratie;c0d3b28a-e78c-4f28-8523-9beabe64eed6;Werkexploratie;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;bedrijfscultuur_en_arbeidsverhoudingen;06947347-f9c0-4ca3-9a47-a9f56edce14c;Bedrijfscultuur en arbeidsverhoudingen;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;budgettering;afd30ae8-7f63-47d2-9933-7ab124caa84b;Budgettering;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;subculturen;d2ba6f4c-b617-4140-b493-d1957ddecf52;Culturen en subculturen;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;doel_en_invloed_netwerken;b7d4916f-e57b-4fbc-8d93-e885597a2a88;Doel en invloed netwerken;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;duurzame_consumptie_en_productie;0ae8825b-4f73-4100-bdaa-880ad049e3f9;Duurzame consumptie en productie;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;ethisch_en_integer_handelen;978b380b-ac13-45a6-a07f-edca0bb5df9f;Ethisch en integer handelen;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;gezonde_leefwijze;ab8a289f-b480-4e2b-8549-cf0945fc06b6;Gezonde leefwijze;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;grondrechten_en_plichten;c324ebb0-f0ba-4527-a3ae-5c1150b68c8e;Grondrechten en plichten;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;maatschappelijke_functies_van_arbeid;730826ef-a81b-423a-a65f-049a3be9fd0f;Maatschappelijke functies van arbeid;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;parlementaire_democratie;513fcfba-16aa-4b1e-b26f-f78e7f03b7d9;Parlementaire democratie;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;politieke_besluitvorming;a646a706-bbda-484d-b667-8cdaed700820;Politieke besluitvorming;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;politieke_stromingen;30c0d713-a013-4c25-8639-e895fc3dca5b;Politieke stromingen;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;rechtsstaat_en_rechtssysteem;9c6447e1-92e2-4c8f-97de-2c8e7243adb2;Rechtsstaat en rechtssysteem;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;rol_en_invloed_branche_en_vakorganisaties;65406126-c4d5-4382-875f-96a025fe73fc;Rol en invloed branche- en vakorganisaties;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;rol_en_invloed_consumentenorganisaties;819ca924-94a5-465a-907f-18e2545bd2a7;Rol en invloed consumentenorganisaties;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;rol_en_invloed_massamedia_op_de_politiek;cac360bc-2b08-4012-95af-43d8308632bd;Rol en invloed massamedia op politiek;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;invloed_media_op_bestedingspatroon;1f7281e8-22a7-4492-8737-1104ff277e36;Rol en invloed media op bestedingspatroon;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;rol_Europese_Unie;dc27018f-a608-47cf-8dcc-b4e5b964d450;Rol Europese Unie;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;rol_overheid_op_de_politiek;198a1deb-9bc4-450f-bd2a-379201bee50c;Rol overheid op de politiek;discipline
discipline;vdex_classification_discipline_domains_lb_20110301.xml;rol_overheid_op_het_gebied_van_de_economie;19d5e9b0-66dd-4172-bb4c-4d8bbf3299f6;Rol overheid op het gebied van de economie;discipline
