lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;leren en loopbaan;157a7262-bdfc-4714-9f9a-b75fef94c8a2;Loopbaan;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;burgerschap;aa2f68ba-69e5-415d-8d9b-8d6ab98942b1;Burgerschap;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;economisch;30d045c8-e34d-4da3-a412-2fb7f391b409;Economisch burgerschap;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;politiek-juridisch;dc503302-39cc-42e7-9639-4d2268c90ddb;Politiek-juridisch burgerschap;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;sociaal-maatschappelijk;7fdc100e-6f72-47f4-88f4-c470f8c83858;Sociaal-maatschappelijk burgerschap;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;rekenen-wiskunde;b48fa351-4561-44c7-a071-ebfd6103eec3;Rekenen;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;getallen;9480fb6d-b753-49a7-8ab1-aa49fbadb1b6;Getallen;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;meten en meetkunde;e3f34035-1352-4024-9812-7f30b291d00b;Meten en meetkunde;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;verbanden;d914a9cb-c57b-4676-b99c-abddb99d2027;Verbanden;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;verhoudingen;343892c7-78bb-4a66-b398-c6613190d3b6;Verhoudingen;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;nederlands;3401cf6e-82e4-404c-b216-b980ff407159;Nederlands;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;begrippenlijst en taalverzorging;7793a80b-ee3e-439f-b548-6924ea2d7033;Begrippenlijst en taalverzorging;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;leesvaardigheid;f4e4403c-8c6c-45ef-97ae-a05cd4fa8d18;Leesvaardigheid;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;mondelinge taalvaardigheid;4c56b100-82ca-43ef-a9d3-f7a1a6b12e21;Mondelinge taalvaardigheid;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;schrijfvaardigheid;35be183e-0a81-41da-985b-35ac29677faa;Schrijfvaardigheid;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;nt2;e7ef4fc3-5bd3-4907-aacb-a0d5f74cef69;Nederlands als tweede taal;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;duits;81a1f605-db58-448d-a1dc-da682316c505;Duits;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;engels;18f53978-1118-4051-a778-b8d7f60ca982;Engels;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;frans;9f4710e3-f173-404e-b12e-577657a5da04;Frans;discipline
discipline;vdex_classification_domeinoverstijgende_vakken_mbo_2009.xml;spaans;952bf604-cc38-44e3-889a-a9e74a18da8e;Spaans;discipline
