lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;1;fe8cc1d3-38ad-4de9-a3f4-3d820285241a;VO Kerndoel 1: Spreken en schrijven;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;2;e0e5fddd-99e6-41f7-9556-127943919374;VO Kerndoel 2: Correct taalgebruik;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;3;87dd91e0-446f-4a5a-870b-74e00dd3b438;VO Kerndoel 3: Woordverwerving;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;4;65efb2f8-72b1-44c9-b4e2-eebc87534e92;VO Kerndoel 4: Lezen en luisteren;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;5;460f9814-41e2-4b45-8c8d-32b71590ace8;VO Kerndoel 5: Omgaan met informatiebronnen;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;6;ca8436e3-c9d2-4650-abe1-4a4e410f17ce;VO Kerndoel 6: Overleg, planning, discussie;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;7;2e5a3623-a7c4-4276-a293-7293dbfa9ea5;VO Kerndoel 7: Presenteren;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;8;27f784a1-b3fc-4811-a2cb-1f28d6b08e69;VO Kerndoel 8: Fictie en non-fictie;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;9;b6a9ddbb-ff6c-49dd-b9a7-8ab59c09176c;VO Kerndoel 9: Planmatig werken met taal;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;10;767abc3a-a5b3-4cc9-ab87-c5404cf87e7e;VO Kerndoel 10: Reflectie op eigen taalgebruik;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;11;18bd6259-e20b-41da-97c2-09cb9a2f346d;VO Kerndoel 11: Luistervaardigheid;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;12;6437bb04-d8e4-42ca-9e7d-62dde3e5f8e6;VO Kerndoel 12: Woordverwerving;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;13;6a30268a-1139-4e85-9669-a17ccb6254e0;VO Kerndoel 13: Lezen en luisteren;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;14;beedaf27-e6ff-45c1-9a92-27a21ffb9a65;VO Kerndoel 14: Omgaan met informatiebronnen;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;15;3d889c52-dc81-4122-b06a-89fd18c5a04e;VO Kerndoel 15: Informele gesprekken;educational objective
competency;vdex_classification_kerndoelen_onderbouw_vo_20071115.xml;16;4583fece-09a8-4397-9f5a-fba24a04c346;VO Kerndoel 16: Standaardgesprekken;educational objective
