lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
competency;vdex_classification_kerndoelen_po_04_2006.xml;1;8cd7169b-ec2b-4b1a-bc35-e2d2ac49e902;PO Kerndoel 1: Informatie verwerven;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;2;e5f45cd7-ff7b-4876-a014-9aead5348100;PO Kerndoel 2: Spreken;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;3;cf478309-4d3b-4e81-9077-764c0793496d;PO Kerndoel 3: Informatie beoordelen;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;4;396bce44-46c7-4af6-880e-1fc3ace5128a;PO Kerndoel 4: Informatie opzoeken;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;5;fd1fd0be-25ed-47af-8ed1-15c8f6b2d8e8;PO Kerndoel 5: Teksttypen onderscheiden;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;6;998d290b-5882-43e9-bf38-b41992ff2ce7;PO Kerndoel 6: Informatie ordenen;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;7;a81b68fb-b89b-4654-a27a-e46c2cf7dd98;PO Kerndoel 7: Informatie vergelijken;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;8;7c484813-ec13-451f-97b0-ff9b7fbab690;PO Kerndoel 8: Teksten produceren;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;9;7893825b-806a-4850-9870-8cb5f94cf5a6;PO Kerndoel 9: Plezier in lezen en schrijven;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;10;a776f9a3-32d3-48cb-bd83-5549c2c8ff49;PO Kerndoel 10: Strategieen hanteren;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;11;7b7a5317-c622-423c-b337-b4c656d8d372;PO Kerndoel 11: Principes en regels;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;12;8990498f-49bb-4e40-8121-0a74b18c7ae7;PO Kerndoel 12: Woordenschat;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;13;f7032363-a75d-4e9e-abc8-6fba2eb976d0;PO Kerndoel 13: Informatie verwerken;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;14;7ec34151-af9f-46b3-ba7f-841672f00705;PO Kerndoel 14: Spreken;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;15;1fa773c2-2e84-41e0-9a45-ab5f6d4af705;PO Kerndoel 15: Schrijfwijze van woorden;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;16;c2071a4a-288d-4bfd-97b8-0cd9d68ff5c2;PO Kerndoel 16: Woordenboek hanteren;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;17;721cb364-8e27-42ed-95b8-31296c4dd425;PO Kerndoel 17: Positieve attitude;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;18;3f8fa2b2-544f-46f9-ae7c-363112c1256a;PO Kerndoel 18: Informatie verwerven;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;19;27b77b33-f0f8-4079-b245-62a0d7c37025;PO Kerndoel 19: Spreken;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;20;a256864b-e6e0-4341-a09a-313bab72ec07;PO Kerndoel 20: Teksttypes hanteren;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;21;f1c6d8e5-5f18-4ef8-8845-1923c71e5edc;PO Kerndoel 21: Teksten produceren;educational objective
competency;vdex_classification_kerndoelen_po_04_2006.xml;22;49f4b7e6-68b2-4dbe-82e7-3eaa450176bb;PO Kerndoel 22: Woordenschat;educational objective
