lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;1;17b41166-ab49-4a56-bcf1-32317da752ef;Bouw en infra;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;1.1;652bc6a3-d024-493f-9199-a08340cbb2b3;Bouwkunde;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;1.2;8154d1f0-9b05-4649-b5b8-1da16cdb0185;Infrastructuur;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;2;3ed67cca-37f6-4d7b-b1eb-872f6671caf7;Afbouw, hout en onderhoud;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;2.1;31926035-10da-4f58-bf5b-6ba6a8084f90;Hout en meubel;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;2.2;8bfd94a6-23ab-4d61-b816-90c67e0ba084;Stukadoren en afbouw;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;2.3;797704ac-6c19-4029-999d-41b5434770cf;Schilderen en onderhoud;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;2.4;6276c656-2285-47ca-a7d0-7c833a0ce882;Schoonmaak en glazenwassen;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;3;c6c55e80-9fae-440b-b50a-4a1f70432734;Techniek en procesindustrie;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;3.1;693f235a-511f-4f59-9633-6b1abd0e3b6f;Werktuigbouwkunde;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;3.2;8cfb914a-ead0-4125-b389-d5d9816afb95;Elektrotechniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;3.3;2bc0df5e-8a3e-4327-993d-7e7d785866b7;Installatietechniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;3.4;bc899047-ae76-4414-a6df-e25c743def3f;Procesindustrie;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;3.5;ee14b214-78a5-4436-ac08-acda03de24af;Vliegtuigbouwkunde;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;4;b658110d-0115-4059-9889-cc7cc6369cc7;Ambacht, laboratorium en gezondheidstechniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;4.1;e813cc0e-3f90-4097-880f-2a79c6bf67b2;Ambachtelijke techniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;4.2;4af508b6-da26-4895-a238-ad8f9775bd00;Gezondheidstechniek;discipline
