lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
discipline;vdex_classification_vakaanduidingen_po_2009.xml;nederlands;3401cf6e-82e4-404c-b216-b980ff407159;Nederlandse taal;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;schrijven;ddae0006-230f-4f00-b407-9d358a90a27e;Technisch schrijven;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;lezen;534ac9f4-f71d-4b46-89e0-dc3f6813da6d;Lezen;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;taal;3401cf6e-82e4-404c-b216-b980ff407159;Nederlandse taal;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;fries;93a7126d-7307-4b6a-b55a-f4f78e92f680;Fries;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;engels;18f53978-1118-4051-a778-b8d7f60ca982;Engels;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;duits;81a1f605-db58-448d-a1dc-da682316c505;Duits;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;frans;9f4710e3-f173-404e-b12e-577657a5da04;Frans;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;spaans;952bf604-cc38-44e3-889a-a9e74a18da8e;Spaans;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;rekenen%20en%20wiskunde;b48fa351-4561-44c7-a071-ebfd6103eec3;Rekenen;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;wereldorientatie;8b194f4d-d757-440d-b8a2-e7427849a6db;Wereldoriëntatie;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;aardrijkskunde;c001f86a-4f8f-4420-bd78-381c615ecedc;Aardrijkskunde;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;geschiedenis;ef3a0b2e-0843-4e0a-b45b-788be6e1ec8d;Geschiedenis;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;natuur;f97e788f-5aa6-4ab4-9448-9e27b79daa9e;Natuur;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;techniek;c6971373-aa44-4de9-91ef-aca886d42a6a;Techniek;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;milieu;c001f86a-4f8f-4420-bd78-381c615ecedc;Aardrijkskunde;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;verkeer;d45cf1d7-3d8e-476a-a4ef-a39440820199;Verkeer;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;gezond%20en%20redzaam%20gedrag;04058361-4e9e-4c02-a057-41605a7f37b5;Gezond en redzaam gedrag;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;burgerschapsvorming;aa2f68ba-69e5-415d-8d9b-8d6ab98942b1;Burgerschapsvorming;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;levensbeschouwing;e605402f-4cc2-46bb-9026-d1d49bde17bf;Godsdienst;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;godsdienst;e605402f-4cc2-46bb-9026-d1d49bde17bf;Godsdienst;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;geestelijke%20stromingen;fbf55a0b-41b6-4dc7-848d-ec41378c9c53;Geestelijke stromingen;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;sociaal-emotionele%20ontwikkeling;35d0e3ed-d62e-40a5-8bff-46f1de51e47a;Sociaal-emotionele ontwikkeling;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;kunstzinnige%20orientatie;4aa16ae7-48c6-4f96-b48d-a67389a7050d;Kunstzinnige oriëntatie;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;handvaardigheid;f1116b34-14c9-4098-85fb-aed1b9473894;Handvaardigheid;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;tekenen;5cb7f440-c370-4056-b30d-f57130cccede;Tekenen;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;muziek;7aa6f577-b02d-484a-90d6-72fc80199f9a;Muziek;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;drama;904a6dbc-c236-42c8-aaa9-a5d7eaa9639f;Drama;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;bewegingsonderwijs;34f8bed2-b9f1-4de9-8db7-ee3d9bbb10f2;Bewegingsonderwijs;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;computervaardigheden%2FICT;e8e7fa96-dfc6-4d6d-a41b-a44c1b5b4138;Computervaardigheden/ ICT;discipline
discipline;vdex_classification_vakaanduidingen_po_2009.xml;filosofie;d35b903f-1598-4bdd-a2fa-8aba854df762;Filosofie;discipline
