lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;aardrijkskunde;c001f86a-4f8f-4420-bd78-381c615ecedc;Aardrijkskunde;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;algemene%20natuurwetenschappen;3b49e7f7-00cc-47ad-8403-32adb3ec31ee;Algemene natuurwetenschappen;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;Arabisch;455d527a-bfd0-4460-919e-12e0478a54cf;Arabisch;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;beeldende%20vorming;4c8a3378-6616-459d-acc4-83ee5a9b91a2;Beeldende vormgeving;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;biologie;2b363227-8633-4652-ad57-c61f1efc02c8;Biologie;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;Chinees;1f7aa29f-38d8-4dab-91db-3be52669951f;Chinees;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;culturele%20en%20kunstzinnige%20vorming;1773b48b-1cce-4a77-bec2-5fd3aa0e2ec2;Culturele en kunstzinnige vorming;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;dans;0b1fbf62-4eb4-4af3-a267-3cd3215d6aac;Dans;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;drama;904a6dbc-c236-42c8-aaa9-a5d7eaa9639f;Drama;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;Duits;81a1f605-db58-448d-a1dc-da682316c505;Duits;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;economie;4ba5583f-b147-42cc-a083-ce5ebfd53746;Economie;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;Engels;18f53978-1118-4051-a778-b8d7f60ca982;Engels;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;filosofie;d35b903f-1598-4bdd-a2fa-8aba854df762;Filosofie;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;Frans;9f4710e3-f173-404e-b12e-577657a5da04;Frans;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;Fries;93a7126d-7307-4b6a-b55a-f4f78e92f680;Fries;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;geschiedenis;ef3a0b2e-0843-4e0a-b45b-788be6e1ec8d;Geschiedenis;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;godsdienst;e605402f-4cc2-46bb-9026-d1d49bde17bf;Godsdienst;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;Grieks;c92a4d95-f2bb-4eb0-8861-0691365f15b1;Grieks;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;handvaardigheid;f1116b34-14c9-4098-85fb-aed1b9473894;Handvaardigheid;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;informatica;2845473d-ce18-450a-9135-6738abbdc129;Informatica;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;Italiaans;aedcfc1c-a676-4f40-8587-4a5f43a354b5;Italiaans;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;klassieke%20culturele%20vorming;42e5a6c8-3d23-4a02-a409-aeaa9fc01721;Klassieke culturele vorming;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;kunst;4aa16ae7-48c6-4f96-b48d-a67389a7050d;Kunst en cultuur;discipline
